"saved_column_object_index","catalog_index","source_file_name","object_title","object_kind","xml_root_name","closest_folder","closest_level_object","original_path","object_signature","subject_area","owner_id","creator_id","item_type_code","created_year","created_month","created_day","created_hour","created_minute","created_second","web_catalog_build","web_catalog_description"
11,195,"annual_stats_fy_2025_2026.catalog","Electronic - UCSB eResources Managed By designator","saved_column","savedColumnObject","Annual Stats FY 2025-2026","Annual Stats FY 2025-2026","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Electronic - UCSB eResources Managed By designator","cosavedcolumn1",,"HE_26742315260006531_6531_D_na07.alma.exlibrisgroup.com","HE_26742315260006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,4,20,22,45,29,"22.4.0.0.4 (Build BIPS-20251201174826.81 )",""
12,200,"annual_stats_fy_2025_2026.catalog","Electronic - UCSC eResources Managed By designator","saved_column","savedColumnObject","Annual Stats FY 2025-2026","Annual Stats FY 2025-2026","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Electronic - UCSC eResources Managed By designator","cosavedcolumn1",,"HE_62927642820006531_6531_D_na07.alma.exlibrisgroup.com","HE_62927642820006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,4,20,22,39,6,"22.4.0.0.4 (Build BIPS-20251201174826.81 )",""
13,209,"annual_stats_fy_2025_2026.catalog","Electronic - UCSD eResources Managed By designator","saved_column","savedColumnObject","Annual Stats FY 2025-2026","Annual Stats FY 2025-2026","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Electronic - UCSD eResources Managed By designator","cosavedcolumn1",,"HE_51947678370006531_6531_D_na07.alma.exlibrisgroup.com","HE_51947678370006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,4,20,22,14,7,"22.4.0.0.4 (Build BIPS-20260309180128.86 )",""
14,218,"annual_stats_fy_2025_2026.catalog","Electronic UCSF eResources Managed By designator","saved_column","savedColumnObject","Annual Stats FY 2025-2026","Annual Stats FY 2025-2026","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Electronic UCSF eResources Managed By designator","cosavedcolumn1",,"HE_51947678370006531_6531_D_na07.alma.exlibrisgroup.com","HE_51947678370006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,6,30,15,5,13,"22.4.0.0.4 (Build BIPS-20260309180128.86 )",""
15,222,"annual_stats_fy_2025_2026.catalog","Fulfillment - Alma User Group","saved_column","savedColumnObject","Annual Stats FY 2025-2026","Annual Stats FY 2025-2026","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Fulfillment - Alma User Group","cosavedcolumn1",,"HE_51947678370006531_6531_D_na07.alma.exlibrisgroup.com","HE_51947678370006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,6,5,18,56,0,"22.4.0.0.4 (Build BIPS-20251201174826.81 )",""
16,224,"annual_stats_fy_2025_2026.catalog","Fulfillment - Fulfillment Institution","saved_column","savedColumnObject","Annual Stats FY 2025-2026","Annual Stats FY 2025-2026","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Fulfillment - Fulfillment Institution","cosavedcolumn1",,"HE_51947678370006531_6531_D_na07.alma.exlibrisgroup.com","HE_51947678370006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,6,3,23,27,34,"22.4.0.0.4 (Build BIPS-20251201174826.81 )",""
17,229,"annual_stats_fy_2025_2026.catalog","Fulfillment - FY 2025-26 Loans (Not In House)","saved_column","savedColumnObject","Annual Stats FY 2025-2026","Annual Stats FY 2025-2026","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Fulfillment - FY 2025-26 Loans (Not In House)","cosavedcolumn1",,"HE_51947678370006531_6531_D_na07.alma.exlibrisgroup.com","HE_51947678370006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,4,13,21,56,17,"22.4.0.0.4 (Build BIPS-20251201174826.81 )",""
18,233,"annual_stats_fy_2025_2026.catalog","Fulfillment - UCB Check-Out Type","saved_column","savedColumnObject","Annual Stats FY 2025-2026","Annual Stats FY 2025-2026","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Fulfillment - UCB Check-Out Type","cosavedcolumn1",,"HE_51947678370006531_6531_D_na07.alma.exlibrisgroup.com","HE_62927642820006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,4,13,17,56,39,"22.4.0.0.4 (Build BIPS-20260309180128.86 )",""
19,235,"annual_stats_fy_2025_2026.catalog","Fulfillment - UCB User Group","saved_column","savedColumnObject","Annual Stats FY 2025-2026","Annual Stats FY 2025-2026","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Fulfillment - UCB User Group","cosavedcolumn1",,"HE_26742315260006531_6531_D_na07.alma.exlibrisgroup.com","HE_26742315260006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,4,7,23,21,23,"22.4.0.0.4 (Build BIPS-20260309180128.86 )",""
20,239,"annual_stats_fy_2025_2026.catalog","Fulfillment - UCD Check-Out Type","saved_column","savedColumnObject","Annual Stats FY 2025-2026","Annual Stats FY 2025-2026","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Fulfillment - UCD Check-Out Type","cosavedcolumn1",,"HE_26742315260006531_6531_D_na07.alma.exlibrisgroup.com","HE_26742315260006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,4,13,17,15,16,"22.4.0.0.4 (Build BIPS-20251201174826.81 )",""
21,240,"annual_stats_fy_2025_2026.catalog","Fulfillment - UCD User Group","saved_column","savedColumnObject","Annual Stats FY 2025-2026","Annual Stats FY 2025-2026","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Fulfillment - UCD User Group","cosavedcolumn1",,"HE_62927642820006531_6531_D_na07.alma.exlibrisgroup.com","HE_62927642820006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,4,6,22,6,41,"22.4.0.0.4 (Build BIPS-20251201174826.81 )",""
22,242,"annual_stats_fy_2025_2026.catalog","Fulfillment - UCI Check-Out Type","saved_column","savedColumnObject","Annual Stats FY 2025-2026","Annual Stats FY 2025-2026","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Fulfillment - UCI Check-Out Type","cosavedcolumn1",,"HE_26742315260006531_6531_D_na07.alma.exlibrisgroup.com","HE_26742315260006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,4,9,22,36,39,"22.4.0.0.4 (Build BIPS-20251201174826.81 )",""
23,244,"annual_stats_fy_2025_2026.catalog","Fulfillment - UCI User Group","saved_column","savedColumnObject","Annual Stats FY 2025-2026","Annual Stats FY 2025-2026","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Fulfillment - UCI User Group","cosavedcolumn1",,"HE_26742315260006531_6531_D_na07.alma.exlibrisgroup.com","HE_26742315260006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,4,7,23,22,39,"22.4.0.0.4 (Build BIPS-20251201174826.81 )",""
24,246,"annual_stats_fy_2025_2026.catalog","Fulfillment - UCLA Check-Out Type","saved_column","savedColumnObject","Annual Stats FY 2025-2026","Annual Stats FY 2025-2026","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Fulfillment - UCLA Check-Out Type","cosavedcolumn1",,"HE_26742315260006531_6531_D_na07.alma.exlibrisgroup.com","HE_26742315260006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,4,13,17,58,11,"22.4.0.0.4 (Build BIPS-20251201174826.81 )",""
25,249,"annual_stats_fy_2025_2026.catalog","Fulfillment - UCLA User Group","saved_column","savedColumnObject","Annual Stats FY 2025-2026","Annual Stats FY 2025-2026","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Fulfillment - UCLA User Group","cosavedcolumn1",,"HE_62927642820006531_6531_D_na07.alma.exlibrisgroup.com","HE_62927642820006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,4,7,22,52,45,"22.4.0.0.4 (Build BIPS-20251201174826.81 )",""
26,250,"annual_stats_fy_2025_2026.catalog","Fulfillment - UCM Check-Out Type","saved_column","savedColumnObject","Annual Stats FY 2025-2026","Annual Stats FY 2025-2026","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Fulfillment - UCM Check-Out Type","cosavedcolumn1",,"HE_51947678370006531_6531_D_na07.alma.exlibrisgroup.com","HE_51947678370006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,4,9,22,14,34,"22.4.0.0.4 (Build BIPS-20251201174826.81 )",""
27,251,"annual_stats_fy_2025_2026.catalog","Fulfillment - UCM User Group","saved_column","savedColumnObject","Annual Stats FY 2025-2026","Annual Stats FY 2025-2026","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Fulfillment - UCM User Group","cosavedcolumn1",,"HE_26742315260006531_6531_D_na07.alma.exlibrisgroup.com","HE_26742315260006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,4,6,21,57,44,"22.4.0.0.4 (Build BIPS-20251201174826.81 )",""
28,252,"annual_stats_fy_2025_2026.catalog","Fulfillment - UCR Check-Out Type","saved_column","savedColumnObject","Annual Stats FY 2025-2026","Annual Stats FY 2025-2026","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Fulfillment - UCR Check-Out Type","cosavedcolumn1",,"HE_62927642820006531_6531_D_na07.alma.exlibrisgroup.com","HE_62927642820006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,4,9,22,50,31,"22.4.0.0.4 (Build BIPS-20251201174826.81 )",""
29,253,"annual_stats_fy_2025_2026.catalog","Fulfillment - UCR User Group","saved_column","savedColumnObject","Annual Stats FY 2025-2026","Annual Stats FY 2025-2026","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Fulfillment - UCR User Group","cosavedcolumn1",,"HE_51947678370006531_6531_D_na07.alma.exlibrisgroup.com","HE_51947678370006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,4,6,21,34,7,"22.4.0.0.4 (Build BIPS-20251201174826.81 )",""
30,254,"annual_stats_fy_2025_2026.catalog","Fulfillment - UCSB Check-Out Type","saved_column","savedColumnObject","Annual Stats FY 2025-2026","Annual Stats FY 2025-2026","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Fulfillment - UCSB Check-Out Type","cosavedcolumn1",,"HE_26742315260006531_6531_D_na07.alma.exlibrisgroup.com","HE_26742315260006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,4,15,18,42,15,"22.4.0.0.4 (Build BIPS-20251201174826.81 )",""
31,255,"annual_stats_fy_2025_2026.catalog","Fulfillment - UCSB User Group","saved_column","savedColumnObject","Annual Stats FY 2025-2026","Annual Stats FY 2025-2026","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Fulfillment - UCSB User Group","cosavedcolumn1",,"HE_26742315260006531_6531_D_na07.alma.exlibrisgroup.com","HE_26742315260006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,4,7,23,23,30,"22.4.0.0.4 (Build BIPS-20251201174826.81 )",""
32,256,"annual_stats_fy_2025_2026.catalog","Fulfillment - UCSC Check-Out Type","saved_column","savedColumnObject","Annual Stats FY 2025-2026","Annual Stats FY 2025-2026","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Fulfillment - UCSC Check-Out Type","cosavedcolumn1",,"HE_62927642820006531_6531_D_na07.alma.exlibrisgroup.com","HE_62927642820006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,4,13,17,23,11,"22.4.0.0.4 (Build BIPS-20251201174826.81 )",""
33,257,"annual_stats_fy_2025_2026.catalog","Fulfillment - UCSC User Group","saved_column","savedColumnObject","Annual Stats FY 2025-2026","Annual Stats FY 2025-2026","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Fulfillment - UCSC User Group","cosavedcolumn1",,"HE_62927642820006531_6531_D_na07.alma.exlibrisgroup.com","HE_62927642820006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,4,7,22,50,59,"22.4.0.0.4 (Build BIPS-20251201174826.81 )",""
34,258,"annual_stats_fy_2025_2026.catalog","Fulfillment - UCSD Check-Out Type","saved_column","savedColumnObject","Annual Stats FY 2025-2026","Annual Stats FY 2025-2026","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Fulfillment - UCSD Check-Out Type","cosavedcolumn1",,"HE_62927642820006531_6531_D_na07.alma.exlibrisgroup.com","HE_62927642820006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,4,13,17,29,15,"22.4.0.0.4 (Build BIPS-20251201174826.81 )",""
35,259,"annual_stats_fy_2025_2026.catalog","Fulfillment - UCSD User Group","saved_column","savedColumnObject","Annual Stats FY 2025-2026","Annual Stats FY 2025-2026","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Fulfillment - UCSD User Group","cosavedcolumn1",,"HE_62927642820006531_6531_D_na07.alma.exlibrisgroup.com","HE_62927642820006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,4,7,22,57,55,"22.4.0.0.4 (Build BIPS-20251201174826.81 )",""
36,260,"annual_stats_fy_2025_2026.catalog","Fulfillment - UCSF Check-Out Type","saved_column","savedColumnObject","Annual Stats FY 2025-2026","Annual Stats FY 2025-2026","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Fulfillment - UCSF Check-Out Type","cosavedcolumn1",,"HE_62927642820006531_6531_D_na07.alma.exlibrisgroup.com","HE_62927642820006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,4,13,17,39,53,"22.4.0.0.4 (Build BIPS-20251201174826.81 )",""
37,261,"annual_stats_fy_2025_2026.catalog","Fulfillment - UCSF User Group","saved_column","savedColumnObject","Annual Stats FY 2025-2026","Annual Stats FY 2025-2026","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Fulfillment - UCSF User Group","cosavedcolumn1",,"HE_62927642820006531_6531_D_na07.alma.exlibrisgroup.com","HE_62927642820006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,4,7,23,2,38,"22.4.0.0.4 (Build BIPS-20251201174826.81 )",""
38,262,"annual_stats_fy_2025_2026.catalog","Physical - Count of Physical Holdings","saved_column","savedColumnObject","Annual Stats FY 2025-2026","Annual Stats FY 2025-2026","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Physical - Count of Physical Holdings","cosavedcolumn1",,"HE_51947678370006531_6531_D_na07.alma.exlibrisgroup.com","HE_51947678370006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,4,1,21,38,38,"22.4.0.0.4 (Build BIPS-20251201174826.81 )","COUNT(DISTINCT) of Physical Item ID, for reporting physical holdings counts"
39,263,"annual_stats_fy_2025_2026.catalog","Physical - Count of Physical Titles","saved_column","savedColumnObject","Annual Stats FY 2025-2026","Annual Stats FY 2025-2026","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Physical - Count of Physical Titles","cosavedcolumn1",,"HE_51947678370006531_6531_D_na07.alma.exlibrisgroup.com","HE_51947678370006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,4,1,21,39,19,"22.4.0.0.4 (Build BIPS-20251201174826.81 )","COUNT(DISTINCT) of Physical Item MMS ID, for reporting physical titles counts"
40,265,"annual_stats_fy_2025_2026.catalog","Physical - Holdings Added Year","saved_column","savedColumnObject","Annual Stats FY 2025-2026","Annual Stats FY 2025-2026","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Physical - Holdings Added Year","cosavedcolumn1",,"HE_51947678370006531_6531_D_na07.alma.exlibrisgroup.com","HE_51947678370006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,2,3,19,57,58,"22.4.0.0.4 (Build BIPS-20251201174826.81 )","for use with non-host campuses"
41,266,"annual_stats_fy_2025_2026.catalog","Physical - SLF Depositor","saved_column","savedColumnObject","Annual Stats FY 2025-2026","Annual Stats FY 2025-2026","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Physical - SLF Depositor","cosavedcolumn1",,"HE_51947678370006531_6531_D_na07.alma.exlibrisgroup.com","HE_51947678370006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,6,22,22,45,43,"22.4.0.0.4 (Build BIPS-20260309180128.86 )",""
42,269,"annual_stats_fy_2025_2026.catalog","Physical - Systemwide Library Facility","saved_column","savedColumnObject","Annual Stats FY 2025-2026","Annual Stats FY 2025-2026","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Physical - Systemwide Library Facility","cosavedcolumn1",,"HE_51947678370006531_6531_D_na07.alma.exlibrisgroup.com","HE_51947678370006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,6,22,22,46,33,"22.4.0.0.4 (Build BIPS-20251201174826.81 )",""
43,270,"annual_stats_fy_2025_2026.catalog","Physical - UCB Library Stats Category","saved_column","savedColumnObject","Annual Stats FY 2025-2026","Annual Stats FY 2025-2026","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Physical - UCB Library Stats Category","cosavedcolumn1",,"HE_51947678370006531_6531_D_na07.alma.exlibrisgroup.com","HE_51947678370006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,1,16,1,24,26,"22.4.0.0.4 (Build BIPS-20251201174826.81 )",""
44,273,"annual_stats_fy_2025_2026.catalog","Physical - UCB SLF/Campus designator","saved_column","savedColumnObject","Physical - UCB SLF","Annual Stats FY 2025-2026","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Physical - UCB SLF/Campus designator","cosavedcolumn1",,"HE_51947678370006531_6531_D_na07.alma.exlibrisgroup.com","HE_51947678370006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,1,14,23,10,28,"22.4.0.0.4 (Build BIPS-20251201174826.81 )",""
45,274,"annual_stats_fy_2025_2026.catalog","Physical - UCD Library Stats Category","saved_column","savedColumnObject","Annual Stats FY 2025-2026","Annual Stats FY 2025-2026","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Physical - UCD Library Stats Category","cosavedcolumn1",,"HE_51947678370006531_6531_D_na07.alma.exlibrisgroup.com","HE_51947678370006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,4,1,21,6,14,"22.4.0.0.4 (Build BIPS-20251201174826.81 )",""
46,276,"annual_stats_fy_2025_2026.catalog","Physical - UCD SLF/campus designator","saved_column","savedColumnObject","Physical - UCD SLF","Annual Stats FY 2025-2026","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Physical - UCD SLF/campus designator","cosavedcolumn1",,"HE_51947678370006531_6531_D_na07.alma.exlibrisgroup.com","HE_51947678370006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,3,26,18,33,8,"22.4.0.0.4 (Build BIPS-20251201174826.81 )",""
47,277,"annual_stats_fy_2025_2026.catalog","Physical - UCI Library Stats Category","saved_column","savedColumnObject","Annual Stats FY 2025-2026","Annual Stats FY 2025-2026","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Physical - UCI Library Stats Category","cosavedcolumn1",,"HE_26742315260006531_6531_D_na07.alma.exlibrisgroup.com","HE_26742315260006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,4,2,21,44,10,"22.4.0.0.4 (Build BIPS-20251201174826.81 )",""
48,280,"annual_stats_fy_2025_2026.catalog","Physical - UCI SLF/campus designator","saved_column","savedColumnObject","Physical - UCI SLF","Annual Stats FY 2025-2026","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Physical - UCI SLF/campus designator","cosavedcolumn1",,"HE_62927642820006531_6531_D_na07.alma.exlibrisgroup.com","HE_62927642820006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,3,30,17,17,50,"22.4.0.0.4 (Build BIPS-20251201174826.81 )",""
